"","Species","Location","method","x","n","mean","lower","upper"
"1","C. greefi","Annobon","wilson",121,131,0.923664122137405,0.865179198021293,0.958009760113628
"2","C. greefi","Bioko","wilson",113,176,0.642045454545455,0.568880842781391,0.709141812994834
"3","C. greefi","Principe","wilson",67,81,0.827160493827161,0.730538624852288,0.894155961222799
"4","C. greefi","Sao Tome","wilson",137,165,0.83030303030303,0.765672244314019,0.87990379347511
"5","C. greefi","Ghana","wilson",131,158,0.829113924050633,0.762786902844987,0.879817289911473
"6","E. africana","Ghana","wilson",19,45,0.422222222222222,0.289687024672703,0.566992112907969
"7","E. africana","Principe","wilson",4,10,0.4,0.168180329706236,0.687326230266342
"8","E. africana","Sao Tome","wilson",1,1,1,0.206549314377238,1
"9","D. biannulata","Ghana","wilson",0,1,0,0,0.793450685622763
